YYYYMM,MM,OldZip,OldNeighborhood,OldCounty,NewZip,NewNeighborhood,NewCounty,Count
202003,03,10001,Chelsea and Clinton,36061,06883,NonNYC,09001,13
202003,03,10001,Chelsea and Clinton,36061,06903,NonNYC,09001,21
202003,03,10001,Chelsea and Clinton,36061,07302,NonNYC,34017,12
202003,03,10001,Chelsea and Clinton,36061,11937,NonNYC,36103,24
202003,03,10002,Lower East Side,36061,11020,NonNYC,36059,12
202003,03,10003,Lower East Side,36061,06880,NonNYC,09001,11
202003,03,10003,Lower East Side,36061,11937,NonNYC,36103,46
202003,03,10003,Lower East Side,36061,11968,NonNYC,36103,16
202003,03,10004,Lower Manhattan,36061,11758,NonNYC,36059,35
202003,03,10010,Gramercy Park and Murray Hill,36061,11937,NonNYC,36103,20
202003,03,10010,Gramercy Park and Murray Hill,36061,11963,NonNYC,36103,11
202003,03,10011,Chelsea and Clinton,36061,11713,NonNYC,36103,11
202003,03,10011,Chelsea and Clinton,36061,11932,NonNYC,36103,14
202003,03,10011,Chelsea and Clinton,36061,11937,NonNYC,36103,59
202003,03,10011,Chelsea and Clinton,36061,11963,NonNYC,36103,15
202003,03,10011,Chelsea and Clinton,36061,11968,NonNYC,36103,15
202003,03,10011,Chelsea and Clinton,36061,11978,NonNYC,36103,14
202003,03,10012,Greenwich Village and Soho,36061,11937,NonNYC,36103,24
202003,03,10013,Greenwich Village and Soho,36061,06880,NonNYC,09001,11
202003,03,10013,Greenwich Village and Soho,36061,11937,NonNYC,36103,27
202003,03,10013,Greenwich Village and Soho,36061,11963,NonNYC,36103,19
202003,03,10013,Greenwich Village and Soho,36061,11968,NonNYC,36103,13
202003,03,10013,Greenwich Village and Soho,36061,80205,NonNYC,08031,46
202003,03,10014,Greenwich Village and Soho,36061,02568,NonNYC,25005,13
202003,03,10014,Greenwich Village and Soho,36061,11932,NonNYC,36103,11
202003,03,10014,Greenwich Village and Soho,36061,11937,NonNYC,36103,47
202003,03,10014,Greenwich Village and Soho,36061,11963,NonNYC,36103,19
202003,03,10014,Greenwich Village and Soho,36061,11968,NonNYC,36103,16
202003,03,10016,Gramercy Park and Murray Hill,36061,07666,NonNYC,34003,17
202003,03,10016,Gramercy Park and Murray Hill,36061,10583,NonNYC,36119,11
202003,03,10016,Gramercy Park and Murray Hill,36061,11937,NonNYC,36103,12
202003,03,10016,Gramercy Park and Murray Hill,36061,12534,NonNYC,36021,13
202003,03,10017,Gramercy Park and Murray Hill,36061,10543,NonNYC,36119,23
202003,03,10017,Gramercy Park and Murray Hill,36061,10583,NonNYC,36119,12
202003,03,10018,Chelsea and Clinton,36061,07740,NonNYC,34025,11
202003,03,10018,Chelsea and Clinton,36061,10583,NonNYC,36119,13
202003,03,10018,Chelsea and Clinton,36061,11024,NonNYC,36059,25
202003,03,10018,Chelsea and Clinton,36061,11050,NonNYC,36059,12
202003,03,10018,Chelsea and Clinton,36061,11576,NonNYC,36059,12
202003,03,10018,Chelsea and Clinton,36061,11701,NonNYC,36059,33
202003,03,10018,Chelsea and Clinton,36061,37216,NonNYC,47037,101
202003,03,10019,Chelsea and Clinton,36061,07090,NonNYC,34039,22
202003,03,10019,Chelsea and Clinton,36061,07302,NonNYC,34017,13
202003,03,10019,Chelsea and Clinton,36061,07410,NonNYC,34003,65
202003,03,10019,Chelsea and Clinton,36061,10549,NonNYC,36119,62
202003,03,10019,Chelsea and Clinton,36061,11937,NonNYC,36103,13
202003,03,10019,Chelsea and Clinton,36061,19966,NonNYC,10005,15
202003,03,10021,Upper East Side,36061,10803,NonNYC,36119,30
202003,03,10021,Upper East Side,36061,11932,NonNYC,36103,12
202003,03,10021,Upper East Side,36061,11937,NonNYC,36103,21
202003,03,10021,Upper East Side,36061,11968,NonNYC,36103,29
202003,03,10021,Upper East Side,36061,11976,NonNYC,36103,13
202003,03,10022,Gramercy Park and Murray Hill,36061,06831,NonNYC,09001,17
202003,03,10022,Gramercy Park and Murray Hill,36061,06901,NonNYC,09001,11
202003,03,10022,Gramercy Park and Murray Hill,36061,11937,NonNYC,36103,20
202003,03,10022,Gramercy Park and Murray Hill,36061,11968,NonNYC,36103,12
202003,03,10023,Upper West Side,36061,01230,NonNYC,25003,17
202003,03,10023,Upper West Side,36061,06840,NonNYC,09001,19
202003,03,10023,Upper West Side,36061,06880,NonNYC,09001,12
202003,03,10023,Upper West Side,36061,10583,NonNYC,36119,15
202003,03,10023,Upper West Side,36061,11937,NonNYC,36103,42
202003,03,10023,Upper West Side,36061,11963,NonNYC,36103,13
202003,03,10023,Upper West Side,36061,11968,NonNYC,36103,23
202003,03,10023,Upper West Side,36061,11976,NonNYC,36103,11
202003,03,10023,Upper West Side,36061,11978,NonNYC,36103,11
202003,03,10023,Upper West Side,36061,12561,NonNYC,36111,11
202003,03,10023,Upper West Side,36061,12571,NonNYC,36021,12
202003,03,10024,Upper West Side,36061,01230,NonNYC,25003,15
202003,03,10024,Upper West Side,36061,06880,NonNYC,09001,12
202003,03,10024,Upper West Side,36061,11937,NonNYC,36103,54
202003,03,10024,Upper West Side,36061,11963,NonNYC,36103,23
202003,03,10024,Upper West Side,36061,11968,NonNYC,36103,22
202003,03,10024,Upper West Side,36061,12075,NonNYC,36021,12
202003,03,10024,Upper West Side,36061,12561,NonNYC,36111,13
202003,03,10025,Upper West Side,36061,01230,NonNYC,25003,12
202003,03,10025,Upper West Side,36061,01240,NonNYC,25003,11
202003,03,10025,Upper West Side,36061,01245,NonNYC,25003,11
202003,03,10025,Upper West Side,36061,08540,NonNYC,34021,12
202003,03,10025,Upper West Side,36061,10512,NonNYC,36079,12
202003,03,10025,Upper West Side,36061,11937,NonNYC,36103,39
202003,03,10025,Upper West Side,36061,11963,NonNYC,36103,11
202003,03,10025,Upper West Side,36061,11968,NonNYC,36103,15
202003,03,10025,Upper West Side,36061,12060,NonNYC,36021,11
202003,03,10025,Upper West Side,36061,12404,NonNYC,36111,11
202003,03,10025,Upper West Side,36061,12484,NonNYC,36111,11
202003,03,10025,Upper West Side,36061,12529,NonNYC,36021,14
202003,03,10025,Upper West Side,36061,12534,NonNYC,36021,12
202003,03,10026,Central Harlem,36061,11557,NonNYC,36059,11
202003,03,10028,Upper East Side,36061,07030,NonNYC,34017,11
202003,03,10028,Upper East Side,36061,11937,NonNYC,36103,34
202003,03,10028,Upper East Side,36061,11968,NonNYC,36103,24
202003,03,10028,Upper East Side,36061,11976,NonNYC,36103,15
202003,03,10028,Upper East Side,36061,12572,NonNYC,36027,12
202003,03,10036,Chelsea and Clinton,36061,11753,NonNYC,36059,15
202003,03,10065,Upper East Side,36061,11937,NonNYC,36103,14
202003,03,10065,Upper East Side,36061,11968,NonNYC,36103,23
202003,03,10075,Upper East Side,36061,11968,NonNYC,36103,21
202003,03,10128,Upper East Side,36061,06793,NonNYC,09005,12
202003,03,10128,Upper East Side,36061,06880,NonNYC,09001,11
202003,03,10128,Upper East Side,36061,11937,NonNYC,36103,40
202003,03,10128,Upper East Side,36061,11959,NonNYC,36103,12
202003,03,10128,Upper East Side,36061,11968,NonNYC,36103,34
202003,03,10128,Upper East Side,36061,11976,NonNYC,36103,17
202003,03,10467,Bronx Park and Fordham,36005,10704,NonNYC,36119,11
202003,03,10470,Northeast Bronx,36119,10470,Northeast Bronx,36119,12
202003,03,10474,Hunts Point and Mott Haven,36005,80631,NonNYC,08123,22
202003,03,11101,Northwest Queens,36081,03106,NonNYC,33013,31
202003,03,11106,Northwest Queens,36081,11577,NonNYC,36059,11
202003,03,11201,Northwest Brooklyn,36047,01230,NonNYC,25003,11
202003,03,11201,Northwest Brooklyn,36047,07302,NonNYC,34017,13
202003,03,11201,Northwest Brooklyn,36047,11937,NonNYC,36103,29
202003,03,11201,Northwest Brooklyn,36047,12498,NonNYC,36111,11
202003,03,11204,Borough Park,36047,08701,NonNYC,34029,11
202003,03,11210,Flatbush,36047,11771,NonNYC,36059,12
202003,03,11215,Northwest Brooklyn,36047,11937,NonNYC,36103,14
202003,03,11215,Northwest Brooklyn,36047,12477,NonNYC,36111,11
202003,03,11375,West Central Queens,36081,11561,NonNYC,36059,11
202003,03,11421,Southwest Queens,36081,55419,NonNYC,27053,11
202003,03,11426,Southeast Queens,36081,11040,NonNYC,36059,13
202004,04,10002,Lower East Side,36061,11937,NonNYC,36103,13
202004,04,10003,Lower East Side,36061,11937,NonNYC,36103,22
202004,04,10003,Lower East Side,36061,11968,NonNYC,36103,12
202004,04,10010,Gramercy Park and Murray Hill,36061,11937,NonNYC,36103,25
202004,04,10010,Gramercy Park and Murray Hill,36061,83001,NonNYC,56039,24
202004,04,10011,Chelsea and Clinton,36061,06880,NonNYC,09001,11
202004,04,10011,Chelsea and Clinton,36061,11930,NonNYC,36103,13
202004,04,10011,Chelsea and Clinton,36061,11937,NonNYC,36103,30
202004,04,10011,Chelsea and Clinton,36061,11963,NonNYC,36103,17
202004,04,10011,Chelsea and Clinton,36061,11976,NonNYC,36103,11
202004,04,10011,Chelsea and Clinton,36061,77043,NonNYC,48201,50
202004,04,10012,Greenwich Village and Soho,36061,11937,NonNYC,36103,12
202004,04,10013,Greenwich Village and Soho,36061,11937,NonNYC,36103,13
202004,04,10013,Greenwich Village and Soho,36061,11963,NonNYC,36103,14
202004,04,10013,Greenwich Village and Soho,36061,12212,NonNYC,36001,15
202004,04,10014,Greenwich Village and Soho,36061,11930,NonNYC,36103,12
202004,04,10014,Greenwich Village and Soho,36061,11937,NonNYC,36103,34
202004,04,10016,Gramercy Park and Murray Hill,36061,06830,NonNYC,09001,14
202004,04,10016,Gramercy Park and Murray Hill,36061,10583,NonNYC,36119,15
202004,04,10016,Gramercy Park and Murray Hill,36061,11937,NonNYC,36103,14
202004,04,10016,Gramercy Park and Murray Hill,36061,11968,NonNYC,36103,12
202004,04,10017,Gramercy Park and Murray Hill,36061,10583,NonNYC,36119,15
202004,04,10018,Chelsea and Clinton,36061,12542,NonNYC,36071,21
202004,04,10018,Chelsea and Clinton,36061,37216,NonNYC,47037,171
202004,04,10019,Chelsea and Clinton,36061,11566,NonNYC,36059,20
202004,04,10021,Upper East Side,36061,11937,NonNYC,36103,30
202004,04,10021,Upper East Side,36061,11968,NonNYC,36103,36
202004,04,10021,Upper East Side,36061,11976,NonNYC,36103,13
202004,04,10022,Gramercy Park and Murray Hill,36061,07093,NonNYC,34017,25
202004,04,10022,Gramercy Park and Murray Hill,36061,07621,NonNYC,34003,40
202004,04,10022,Gramercy Park and Murray Hill,36061,11590,NonNYC,36059,35
202004,04,10022,Gramercy Park and Murray Hill,36061,11937,NonNYC,36103,18
202004,04,10022,Gramercy Park and Murray Hill,36061,11968,NonNYC,36103,19
202004,04,10023,Upper West Side,36061,06880,NonNYC,09001,18
202004,04,10023,Upper West Side,36061,11937,NonNYC,36103,43
202004,04,10023,Upper West Side,36061,11962,NonNYC,36103,13
202004,04,10023,Upper West Side,36061,11963,NonNYC,36103,12
202004,04,10023,Upper West Side,36061,11968,NonNYC,36103,27
202004,04,10023,Upper West Side,36061,11976,NonNYC,36103,12
202004,04,10023,Upper West Side,36061,11978,NonNYC,36103,17
202004,04,10024,Upper West Side,36061,01230,NonNYC,25003,12
202004,04,10024,Upper West Side,36061,11937,NonNYC,36103,31
202004,04,10024,Upper West Side,36061,11968,NonNYC,36103,14
202004,04,10024,Upper West Side,36061,12534,NonNYC,36021,11
202004,04,10025,Upper West Side,36061,11937,NonNYC,36103,22
202004,04,10025,Upper West Side,36061,11965,NonNYC,36103,12
202004,04,10025,Upper West Side,36061,11968,NonNYC,36103,15
202004,04,10025,Upper West Side,36061,12498,NonNYC,36111,16
202004,04,10025,Upper West Side,36061,12529,NonNYC,36021,12
202004,04,10028,Upper East Side,36061,11030,NonNYC,36059,14
202004,04,10028,Upper East Side,36061,11937,NonNYC,36103,21
202004,04,10028,Upper East Side,36061,11963,NonNYC,36103,14
202004,04,10028,Upper East Side,36061,11968,NonNYC,36103,24
202004,04,10028,Upper East Side,36061,11976,NonNYC,36103,15
202004,04,10036,Chelsea and Clinton,36061,07024,NonNYC,34003,13
202004,04,10036,Chelsea and Clinton,36061,11746,NonNYC,36103,11
202004,04,10065,Upper East Side,36061,08822,NonNYC,34019,11
202004,04,10065,Upper East Side,36061,11937,NonNYC,36103,26
202004,04,10075,Upper East Side,36061,11937,NonNYC,36103,14
