dest_subpl,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20
U0900104720,2.970532319,3.037851631,0,3.043121025,9.062896502,0,0,0,0,0,0,0,0,0,0,3.267867063,0,0,3.290231303,0,0,0,0,0,0,0,0,0,0,0,0,5.683594305,0,0,0,0,0,0,0,0,0,0,0,0,0,3.087944664,3.122950564,0,0,0,0,0,0,6.341958397,0,0,0,0,0,0,0,0,0,0,2.832459992,0,5.69476082,5.820891178,0,0,0,0,0,0,0,0,0,0,0,0,0,3.673364434,3.474514437,0,0,0,0,0,3.547608912,0,0,0,0,0,0,0,0,0,6.617257808,0,0,0,0,0,0,3.463683281,0,0,0,0,0,0,0,0,0,0,0,3.425009419,0,0,3.537944454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.266799517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.198283076,0,12.61511291,12.45873046,0,0,0,0,0,0,13.1552983,0,0,0,0,0,0,3.358973498,0,0,6.559527714,0,0,9.887284952,6.721107639,3.3316675,0,3.255526256,0,0,3.219678676,3.303382664,0,0,3.288067603,0,0,3.30742517,6.772544106,3.363040188,0,0,0,3.142875102,0,0,0,0,0,0,0,6.078842588,12.18175174,5.726556908,0,5.9839033,0,0,0,0,0,2.966830831,2.933411558,0,0,5.903361965,6.150818059,8.611286526,0,2.862049227,6.012506013,0,0,0,3.32745483,0,0,0,0,0,0,0,0,0,0,0,0,6.170363743,6.319314986,3.154275621,0,0,0,3.063819357,0,6.227813415,3.118373456,0,0,3.059226628,0,0,0,0,0,0,0,3.317079643,3.369612831,3.301528608,0,0,0
U0900108070,14.8526616,3.037851631,3.0375748,6.08624205,9.062896502,3.053341883,3.085943527,0,9.351329447,12.52191335,18.87504719,43.64361868,41.64931279,52.17504728,59.4667812,49.01800595,52.10368634,50.05673096,82.25578258,49.97834272,39.64583058,41.98966408,36.07621921,66.74676278,53.736356,56.96096499,46.86819993,52.0598341,51.38042063,62.14611242,68.45798391,51.15234875,51.5286843,41.77807487,40.62917175,44.88598959,41.60104597,43.67447955,48.91945556,38.40132337,37.46397695,41.75116307,44.42996357,57.0450656,54.49096358,46.31916996,37.47540676,92.70507001,35.64138289,46.96599662,52.64461786,56.76979847,65.90716505,44.39370878,43.45666749,36.48192625,50.90734863,30.57262527,18.97113226,3.19918101,0,0,5.577244841,0,5.664919983,2.826215979,8.54214123,8.731336768,2.899223008,0,0,0,6.108548914,6.467050378,3.150201613,0,0,0,3.278688525,3.381577168,3.679988224,0,6.949028873,0,0,0,0,0,0,0,0,6.097003323,3.076449777,9.336777567,3.214710515,0,6.491820306,3.314990387,3.308628904,6.569007423,3.353566518,13.45442314,10.24800164,6.814774431,3.443881944,6.927366562,0,3.485656523,3.521002782,3.502504291,3.462723779,3.387878172,3.382721061,6.801333061,0,0,3.441156228,0,3.393626769,3.490766921,10.61383336,3.317189677,0,0,0,0,0,12.81517317,0,6.566850538,3.254572675,0,0,9.838000918,3.265626021,3.266799517,6.579163788,3.165258127,0,0,0,0,0,0,0,9.233610342,0,12.90947233,6.417043668,6.296039791,6.210022977,12.39618198,9.127974198,3.131752842,3.128715349,3.129009043,0,12.67869029,6.346184357,12.50508019,21.74858634,3.099141538,0,9.461334679,15.57341307,12.72547959,3.211716341,3.28633869,6.4821417,3.289581894,9.989012087,19.73294744,13.6859753,9.701830412,6.564048705,3.295761651,19.82881126,22.99001576,33.58973498,16.8231217,10.00834028,13.11905543,9.87231802,10.0310964,13.1830466,47.04775347,13.32667,6.674453529,3.255526256,12.95966305,3.236245955,0,13.21353066,3.368591255,16.18699213,13.15227041,19.6669726,9.828331804,16.53712585,16.93136027,10.08912056,3.339232644,0,19.04096982,0,3.146831141,3.191421459,12.79058613,3.176922833,3.009057262,2.946462771,2.962699612,0,9.136313802,5.726556908,8.804883776,8.97585495,6.06998695,8.859488512,5.884949242,15.16576178,12.64662177,14.83415416,2.933411558,15.0222329,11.50516294,26.56512884,33.82949932,31.57471726,11.71268777,17.17229536,12.02501203,12.29029681,9.723212549,9.891196835,9.982364489,9.853511134,19.84586379,19.84061374,29.78258711,144.5426737,126.4308901,116.7172441,45.33913674,51.99730837,44.17797412,30.375748,39.67285156,46.27772807,37.91588992,41.00558307,46.95864509,47.4749273,50.66611033,39.82965164,40.31882889,46.70860061,34.30210802,44.03623553,30.83944982,55.0660793,25.24057422,39.44124897,37.0994941,30.12048193,37.22000406,33.41799225,46.58591774,43.12203536,47.17457964,42.9198719,36.58861096,51.25084083,61.78459938
U0900108980,0,0,0,6.08624205,0,0,0,0,0,0,3.145841198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.350644999,0,0,0,0,10.26869759,5.683594305,2.862704683,0,0,0,0,0,2.877615033,2.953947951,2.88184438,5.964451867,5.923995142,6.004743748,3.027275755,0,0,0,0,9.393199324,0,0,0,0,3.104047678,0,0,0,0,0,2.879106325,2.866890284,0,0,5.664919983,2.826215979,0,8.731336768,0,0,0,0,3.054274457,0,0,0,0,0,0,6.763154335,0,0,0,0,0,0,0,0,0,3.422547745,0,0,3.076449777,0,0,0,0,3.314990387,6.617257808,0,3.353566518,0,0,0,3.443881944,0,0,0,0,0,3.462723779,0,0,6.801333061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.533599033,6.579163788,3.165258127,0,0,3.150797152,6.307755385,3.069085106,0,6.179323982,3.077870114,3.126856571,3.227368081,3.208521834,6.296039791,6.210022977,3.099045494,9.127974198,6.263505684,6.257430699,0,0,0,6.346184357,0,0,0,0,3.153778226,9.344047842,9.544109694,6.423432682,0,0,0,0,13.1552983,0,0,0,0,0,0,0,0,6.672226856,0,0,0,3.295761651,0,3.3316675,3.337226765,0,0,0,6.439357352,3.303382664,3.368591255,6.474796853,6.576135205,6.555657532,0,0,0,0,0,3.241596162,3.17349497,0,3.146831141,9.574264377,15.98823266,0,0,0,0,0,27.40894141,5.726556908,5.869922517,2.99195165,6.06998695,0,11.76989848,3.033152355,0,0,0,0,0,2.951680982,3.075409029,0,0,0,0,0,0,0,0,3.284503711,3.307643965,6.613537912,9.927529038,3.361457528,6.83410217,3.334778404,3.022609116,0,0,0,3.051757813,12.34072749,18.95794496,3.154275621,3.130576339,0,0,3.063819357,6.202896753,3.113906707,0,3.145445395,0,0,3.155071778,3.286770748,6.745362563,3.765060241,0,0,0,0,0,0,0,0,0
U0900118500,5.941064639,6.075703263,3.0375748,3.043121025,6.041931001,3.053341883,0,0,0,3.130478337,3.145841198,9.352204003,3.203793291,0,3.303710066,9.80360119,19.53888238,10.01134619,19.74138782,16.65944757,3.303819215,3.22997416,0,0,6.7170445,10.051935,3.347728566,10.41196682,6.850722751,3.452561801,6.845798391,8.525391458,11.45081873,5.570409982,14.51041848,14.96199653,8.914509851,8.734895909,14.38807516,20.67763566,11.52737752,11.92890373,11.84799028,9.007115621,21.19093028,12.35177866,40.59835733,9.590179656,9.720377151,37.57279729,15.48371114,9.461633078,18.83061859,12.68391679,9.312143035,3.04016052,5.989099838,3.057262527,3.161855377,12.79672404,0,0,0,2.892263196,8.497379975,0,17.08428246,26.1940103,0,0,0,0,9.162823371,6.467050378,6.300403226,0,3.230913379,0,6.557377049,20.28946301,11.03996467,7.346728869,6.949028873,10.38349716,6.699494188,10.50788091,10.62473438,7.121239096,7.095217823,10.26764323,10.38349716,12.19400665,6.152899554,6.224518378,9.644131546,6.333523339,6.491820306,9.94497116,9.925886713,6.569007423,10.06069955,6.727211571,6.832001093,6.814774431,6.887763887,13.85473312,13.95186606,6.971313047,7.042005563,14.01001716,13.85089511,10.16363452,6.765442122,10.20199959,13.77078528,6.793247512,6.882312457,13.70003768,13.57450708,10.47230076,10.61383336,0,16.46144729,13.54784081,6.612444621,3.273536729,3.228514238,0,0,0,3.254572675,0,0,3.279333639,6.531252041,9.80039855,23.02707326,3.165258127,0,0,0,0,0,12.33007614,6.179323982,3.077870114,0,3.227368081,3.208521834,15.74009948,6.210022977,27.89140945,9.127974198,6.263505684,6.257430699,12.51603617,9.359206339,3.169672573,9.519276535,9.378810142,6.213881812,18.59484923,12.37202685,15.76889113,40.49087398,15.90684949,9.635149024,13.14535476,9.723212549,32.89581894,6.659341391,26.31059659,30.79344442,29.10549124,6.564048705,16.47880825,33.04801877,6.568575933,0,20.18774604,10.00834028,55.75598557,6.581545347,10.0310964,19.7745699,47.04775347,46.64334499,3.337226765,13.02210502,16.19957881,16.18122977,16.09839338,16.51691332,16.84295628,19.42439056,13.15227041,19.6669726,9.828331804,16.53712585,57.5666249,30.26736169,10.01769793,9.724788486,9.52048491,18.85725061,15.73415571,31.91421459,44.76705145,0,15.04528631,5.892925543,8.888098836,6.078842588,48.72700694,14.31639227,20.54472881,8.97585495,6.06998695,0,0,12.13260942,9.484966328,14.83415416,0,6.008893162,11.50516294,20.66176688,98.41308894,34.4451461,0,2.862049227,6.012506013,6.145148405,3.24107085,6.594131223,16.63727415,16.42251856,0,0,19.85505808,6.722915056,17.08525542,13.33911362,6.045218232,9.175995596,3.15556958,3.0375748,12.20703125,30.85181871,41.07554741,15.7713781,3.130576339,8.90154887,8.941078294,52.08492907,80.63765779,93.41720122,6.236746913,12.58178158,12.33577993,15.29613314,18.93043067,36.15447823,13.49072513,3.765060241,6.767273466,6.683598449,13.31026221,9.951238929,26.95690265,16.50764304,9.978712081,9.609532656,6.50364204
U0900118850,0,3.037851631,0,12.1724841,6.041931001,6.106683765,6.171887054,6.258605583,6.234219632,3.130478337,12.58336479,18.70440801,0,0,6.607420133,6.535734126,9.769441188,10.01134619,3.290231303,16.65944757,3.303819215,3.22997416,3.279656292,0,23.50965575,23.45451499,0,0,3.425361376,0,6.845798391,5.683594305,5.725409367,0,0,2.992399306,2.971503284,11.64652788,8.632845098,0,2.88184438,8.9466778,5.923995142,0,15.13637877,15.43972332,6.245901127,3.196726552,6.480251434,15.65533221,9.290226682,0,3.138436431,0,0,6.080321041,0,6.114525054,9.48556613,6.398362019,2.879106325,2.866890284,2.788622421,0,2.832459992,0,0,0,8.697669025,3.096550443,0,6.249804694,0,6.467050378,12.60080645,3.215434084,6.461826758,3.299350028,3.278688525,3.381577168,0,0,3.474514437,3.461165721,0,3.50262697,0,3.560619548,0,0,0,0,0,0,0,3.16676167,3.245910153,3.314990387,3.308628904,6.569007423,0,0,0,6.814774431,0,0,0,6.971313047,0,0,0,10.16363452,10.14816318,0,0,0,3.441156228,10.27502826,0,0,0,3.317189677,0,6.773920406,0,0,3.228514238,0,3.356718472,0,0,0,6.528906735,3.279333639,0,3.266799517,9.868745682,0,3.135877575,0,3.150797152,0,3.069085106,3.082519035,3.089661991,9.233610342,0,3.227368081,3.208521834,3.148019895,0,3.099045494,3.042658066,3.131752842,6.257430699,9.387027129,0,3.169672573,6.346184357,3.126270047,3.106940906,0,0,0,24.91746091,12.72547959,3.211716341,0,9.723212549,3.289581894,3.329670696,6.577649148,0,0,6.564048705,13.1830466,3.304801877,3.284287966,10.07692049,3.36462434,3.336113428,0,0,3.3436988,13.1830466,3.360553819,6.663334999,0,3.255526256,3.239915762,0,0,6.606765328,3.368591255,3.237398427,0,0,19.65666361,3.30742517,0,3.363040188,0,3.241596162,0,0,0,19.14852875,12.79058613,0,3.009057262,8.839388314,2.962699612,9.118263883,24.36350347,28.63278454,8.804883776,0,3.034993475,0,8.827423863,6.06630471,0,2.966830831,14.66705779,3.004446581,5.752581471,8.855042947,15.37704515,2.870428842,14.64085971,11.44819691,6.012506013,0,16.20535425,16.48532806,3.32745483,3.284503711,16.53821983,16.53384478,9.927529038,10.08437258,13.66820434,6.669556808,3.022609116,3.058665199,0,0,6.103515625,46.27772807,6.319314986,3.154275621,3.130576339,8.90154887,0,0,0,6.227813415,9.355120369,6.29089079,0,3.059226628,3.155071778,16.43385374,3.372681282,3.765060241,0,6.683598449,0,0,6.739225663,3.301528608,3.32623736,0,0
U0900123890,0,0,3.0375748,3.043121025,0,0,0,3.129302791,3.117109816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.452561801,0,2.841797153,0,0,0,0,0,0,0,0,0,0,0,0,0,3.087944664,6.245901127,3.196726552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.292289458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.295761651,3.360553819,3.3316675,0,0,0,0,0,0,0,0,0,0,0,0,3.386272053,0,0,0,0,0,0,0,0,0,0,0,0,0,3.045437934,2.863278454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.284503711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.286770748,0,0,0,0,0,0,0,0,0,0,0
U0900126620,2.970532319,3.037851631,12.1502992,15.21560512,24.167724,0,9.257830582,6.258605583,0,9.391435011,12.58336479,74.81763202,54.46448595,55.43598774,42.94823086,49.01800595,29.30832356,33.37115397,36.19254434,23.3232266,46.25346901,25.83979328,45.91518809,30.03604325,30.22670025,46.90902999,50.21592849,34.70655607,51.38042063,27.62049441,30.80609276,51.15234875,42.94057025,33.42245989,37.72708805,17.95439583,35.6580394,20.38142379,34.53138039,38.40132337,46.10951009,26.8400334,38.50596843,21.01660312,33.3000333,37.05533597,62.45901127,54.34435138,35.64138289,37.57279729,49.54787563,56.76979847,53.35341933,47.56468798,43.45666749,15.2008026,29.94549919,18.34357516,18.97113226,12.79672404,17.27463795,2.866890284,2.788622421,0,2.832459992,8.478647938,11.38952164,26.1940103,0,0,6.339546089,6.249804694,18.32564674,38.80230227,12.60080645,6.430868167,0,3.299350028,0,0,0,0,3.474514437,0,0,0,3.541578127,0,0,0,0,3.048501661,0,3.112259189,0,3.16676167,0,0,3.308628904,3.284503711,0,6.727211571,0,0,0,3.463683281,0,3.485656523,0,0,0,0,0,0,3.44269632,0,0,10.27502826,0,0,3.537944454,0,3.292289458,0,0,0,0,0,0,6.566850538,6.509145349,0,0,13.11733456,3.265626021,3.266799517,29.60623705,6.330516254,0,0,3.150797152,12.61551077,12.27634042,0,15.44830995,0,0,0,0,3.148019895,12.42004595,6.198090988,12.17063226,3.131752842,0,0,0,0,6.346184357,9.378810142,6.213881812,0,0,0,24.91746091,15.90684949,28.90544707,16.43169345,16.20535425,16.44790947,9.989012087,9.866473722,20.52896295,3.233943471,9.846073058,3.295761651,3.304801877,6.568575933,26.87178798,16.8231217,16.68056714,16.39881929,6.581545347,23.4058916,29.66185485,26.88443055,26.65334,6.674453529,9.766578767,12.95966305,3.236245955,12.8787147,26.42706131,13.47436502,19.42439056,9.864202808,3.277828766,29.48499541,16.53712585,13.54508821,23.54128132,13.35693058,0,0,12.57150041,0,3.191421459,22.38352573,9.530768498,18.05434357,11.78585109,8.888098836,6.078842588,21.31806554,11.45311382,29.34961259,0,9.104980424,26.57846554,5.884949242,9.099457066,6.323310886,17.80098499,8.800234673,30.04446581,43.14436103,20.66176688,52.2819535,74.63114989,17.56903165,22.89639382,3.006253006,9.217722608,9.723212549,16.48532806,13.30981932,6.569007423,42.99937155,79.36245495,92.65693769,110.9280984,112.7626858,96.70857372,57.42957321,48.93864318,59.95582203,45.563622,61.03515625,92.55545614,85.31075231,85.16544176,53.21979776,47.4749273,41.72503204,73.53166457,71.33331266,62.27813415,65.48584258,59.76346251,46.25917474,45.88839941,72.56665089,39.44124897,57.33558179,26.35542169,43.98727753,46.78518915,49.9134833,39.80495572,94.34915928,56.12598633,56.54603513,41.64130818,48.7773153
U0900133620,11.88212928,0,3.0375748,0,9.062896502,0,0,3.129302791,9.351329447,3.130478337,9.437523594,6.234802668,19.22275975,6.52188091,3.303710066,19.60720238,6.512960792,20.02269238,6.580462607,9.995668544,6.60763843,19.37984496,6.559312584,23.36136697,13.434089,0,10.0431857,24.29458925,10.27608413,20.71537081,10.26869759,53.9941459,17.1762281,22.28163993,14.51041848,17.95439583,5.943006567,2.91163197,17.2656902,2.953947951,8.645533141,8.9466778,14.80998786,15.01185937,9.081827264,9.263833992,21.86065395,6.393453104,12.96050287,9.393199324,6.193484454,22.07714385,3.138436431,9.512937595,18.62428607,18.24096312,23.95639935,0,15.80927688,9.597543029,8.637318976,14.33445142,11.15448968,14.46131598,2.832459992,5.652431959,14.23690205,14.55222795,2.899223008,6.193100886,6.339546089,0,15.27137229,3.233525189,0,0,3.230913379,0,0,6.763154335,0,0,6.949028873,3.461165721,6.699494188,0,3.541578127,0,0,0,3.461165721,3.048501661,0,0,6.429421031,6.333523339,0,3.314990387,0,3.284503711,6.707133036,3.363605785,0,3.407387215,3.443881944,0,0,0,3.521002782,0,3.462723779,3.387878172,6.765442122,0,0,0,0,0,3.393626769,3.490766921,0,0,3.292289458,0,0,3.273536729,3.228514238,0,0,0,0,0,6.528906735,3.279333639,0,0,0,3.165258127,6.271755151,3.154474622,0,0,6.138170211,0,12.35864796,9.233610342,3.126856571,3.227368081,3.208521834,6.296039791,6.210022977,3.099045494,3.042658066,12.52701137,6.257430699,12.51603617,9.359206339,3.169672573,9.519276535,9.378810142,3.106940906,9.297424613,0,40.99911694,18.68809568,38.17643877,0,9.85901607,0,6.579163788,23.30769487,13.1552983,3.421493824,6.467886941,6.564048705,0,3.304801877,3.284287966,6.717946995,0,16.68056714,3.279763857,3.290772673,0,19.7745699,3.360553819,9.995002499,6.674453529,13.02210502,3.239915762,9.708737864,6.439357352,3.303382664,3.368591255,9.71219528,3.288067603,13.11131506,9.828331804,0,6.772544106,13.45216075,6.678465289,3.241596162,0,6.285750204,6.293662282,12.76568584,0,9.530768498,9.027171787,17.67877663,5.925399224,18.23652777,3.045437934,2.863278454,2.934961259,0,0,5.906325675,2.942474621,12.13260942,6.323310886,0,0,0,5.752581471,5.903361965,9.226227088,11.48171537,8.784515827,8.586147682,3.006253006,12.29029681,9.723212549,32.97065612,13.30981932,3.284503711,16.53821983,0,6.618352692,16.80728764,13.66820434,6.669556808,9.067827349,6.117330397,9.466708741,6.075149601,12.20703125,33.93700059,18.95794496,3.154275621,0,5.934365913,5.960718863,9.191458072,12.40579351,3.113906707,3.118373456,0,6.167889965,9.177679883,9.465215334,23.00739523,3.372681282,0,3.383636733,3.341799225,0,0,0,9.904585823,9.978712081,0,0
U0900148620,0,3.037851631,3.0375748,3.043121025,6.041931001,6.106683765,6.171887054,6.258605583,3.117109816,0,9.437523594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.841797153,0,0,0,0,0,0,2.877615033,0,2.88184438,0,0,0,0,3.087944664,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19918101,0,0,0,0,0,0,2.84738041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.082519035,0,0,0,0,0,3.148019895,3.105011489,3.099045494,0,3.131752842,3.128715349,3.129009043,3.119735446,3.169672573,15.86546089,0,0,0,0,0,9.344047842,0,0,0,0,0,0,3.288824574,0,0,3.282024353,3.295761651,0,3.284287966,0,3.36462434,0,0,0,6.687397599,6.591523301,3.360553819,3.3316675,3.337226765,3.255526256,3.239915762,3.236245955,6.439357352,9.910147992,6.73718251,3.237398427,0,0,0,3.30742517,0,0,0,0,0,0,0,3.191421459,3.197646532,0,0,0,2.962699612,0,0,2.863278454,2.934961259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.072574203,3.24107085,3.297065612,6.65490966,0,0,0,0,0,0,0,0,0,0,0,3.051757813,3.085181871,12.63862997,0,6.261152678,0,2.980359431,0,0,0,0,0,3.083944982,0,0,0,0,0,0,0,0,0,6.739225663,0,0,0,3.25182102
U0900150580,0,0,3.0375748,0,0,0,0,0,0,6.260956674,0,6.234802668,0,0,0,0,3.256480396,0,0,3.331889515,0,0,3.279656292,0,0,3.350644999,3.347728566,0,0,0,3.422899196,0,0,0,0,0,0,2.91163197,2.877615033,2.953947951,0,0,0,0,0,0,3.122950564,0,3.240125717,3.131066441,0,0,9.415309293,0,0,0,0,0,0,0,0,0,0,2.892263196,0,0,2.84738041,5.820891178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349747094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.85089511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.289581894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.169672573,3.173092178,0,0,0,0,0,0,0,0,0,0,3.289581894,3.329670696,6.577649148,0,6.467886941,0,0,3.304801877,3.284287966,3.358973498,0,0,0,0,6.687397599,16.47880825,3.360553819,3.3316675,3.337226765,0,0,0,0,0,0,0,3.288067603,0,0,0,0,0,0,3.241596162,0,0,0,3.191421459,0,3.176922833,0,0,0,0,6.090875868,2.863278454,0,0,3.034993475,0,0,0,0,2.966830831,2.933411558,3.004446581,0,0,3.075409029,5.740857684,2.928171942,14.31024614,3.006253006,0,3.24107085,6.594131223,0,0,0,0,3.309176346,6.722915056,3.417051085,0,0,9.175995596,6.311139161,6.075149601,12.20703125,3.085181871,3.159657493,0,3.130576339,0,0,3.063819357,3.101448376,15.56953354,3.118373456,9.436336185,6.167889965,6.118453255,3.155071778,3.286770748,0,0,3.383636733,3.341799225,0,0,0,0,0,0,0
