geoid,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20
U01001,0,0,0,1.584133321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.487364836,1.488538255,2.975614836,1.520611894,0,0,0,3.459010723,1.783548548,5.245030334,1.703925845,3.762864292,1.828922582,3.73266643,3.736781137,1.889751876,5.619661322,3.899699723,2.090869174,4.146538677,3.898255531,3.901906081,1.887932337,0,2.062110777,2.105351804,2.072495907,1.994336086,2.00621928,1.75367834,3.508710374,0,3.790822419,1.856596487,1.948482132,4.096933445,2.04662205,4.052767027,4.144132944,4.160945367,2.156985397,2.139083189,2.126031125,2.145416318,2.1709398,2.165580267,2.215231935,2.187657238,2.1374829,2.089995193,2.082465639,2.096875655,2.126935511,0,2.1486893,2.120575948,2.106327408,2.169668041,0,0,0,0,0,0,0,0,0,2.33535731,0,0,0,0,0,0,2.371916509,0,4.365477802,0,0,0,0,0,0,0,0,0,0,0,0,0,1.956066741,0,0,0,2.08454932,2.09938488,0,0,0,0,0,0,0,2.121475698,2.189429435,2.287335026,2.286027798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.324500232,0,0,0,2.275519956,0,0,0,0,0,0,0,0,2.372422956,2.394636015,2.496317931,2.463114855,0,0,2.152574479,2.139495079,0,2.114030823,2.062451017,0,0,0,0,0,0,0,0,0,1.90719585,1.857251639,1.863793939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.058841696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.702707305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U01003,7.785615297,6.356066866,6.311637081,3.168266641,4.706768333,1.584283904,3.198311292,1.624959376,0,0,8.407176366,1.647989453,3.499317633,3.919647232,9.93324857,3.883118144,1.941408298,0,0,0,3.978278599,5.720060251,7.937295367,8.016514019,14.29038053,4.079301624,8.062728024,4.234865649,6.373621704,6.389095943,2.084158313,0,0,0,0,1.722652885,3.444771698,0,1.666194578,3.393166163,1.62792212,0,1.700188721,1.701085292,1.783643985,3.703840883,1.903819061,5.769452671,5.97335882,3.785584494,1.830797679,1.873325715,3.791181711,7.602250266,3.671476301,1.757222183,5.241181712,5.412329286,5.773338722,9.845039085,3.273429572,1.613293539,2.974729671,0,1.487807418,1.520611894,4.729250414,4.82152328,7.847938347,0,0,0,3.40785169,3.762864292,0,7.465332861,9.341952842,24.56677438,14.98576352,13.64894903,8.363476697,16.58615471,13.64389436,19.50953041,13.21552636,18.44186714,20.62110777,23.15886985,16.57996725,15.95468868,10.0310964,8.768391702,15.78919668,14.45217234,11.37246726,12.99617541,17.53633919,10.24233361,12.2797323,12.15830108,14.5044653,35.36803562,19.41286857,21.39083189,2.126031125,6.436248954,4.3418796,10.82790134,6.645695804,4.375314476,19.2373461,6.269985579,8.329862557,8.387502621,17.01548409,21.38900178,17.1895144,10.60287974,8.42530963,8.678672163,10.87784184,0,0,0,0,0,0,0,0,2.33535731,0,0,0,0,0,0,2.371916509,0,0,2.181453284,2.192453575,10.77005924,2.081208766,2.092093977,4.244392097,20.66457266,14.54182853,11.00303684,24.31207868,27.48879303,12.17656012,2.014747955,11.73640045,14.79915433,6.316720359,12.53446979,4.169098641,0,0,0,0,0,0,0,2.096611875,0,0,0,0,0,2.356489773,7.002310763,14.79144069,11.17318436,6.958780822,11.61872008,6.955876556,11.55374804,7.096560534,2.423185034,13.99710726,24.9173198,6.906236331,7.109678643,4.649000465,9.546995083,4.713646005,7.103281716,4.551039913,2.239691818,4.492564805,2.246332862,2.350065802,0,9.066183137,7.032678513,7.03103028,7.117268867,7.183908046,2.496317931,0,0,0,0,0,0,2.114030823,0,0,0,1.76709666,1.764788931,3.686296194,0,0,0,1.911680367,0,0,0,0,0,0,0,0,0,0,1.816167523,1.636018585,1.645711276,0,0,1.744865733,0,0,0,0,0,0,0,0,0,4.14645271,1.82488412,1.868181139,3.849262866,5.374032674,5.394034198,5.419368824,5.630630631,5.603182608,3.657912064,0,0,0,0,0,0,1.87132752,5.427310225,8.912497103,3.706174487,3.817522428,3.91420072,5.043245833,7.538256653,4.968944099,0,0,0,0,0,0,0,1.914278604,0,0,0,0
U01005,1.557123059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.608219524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.644296438,0,0,0,1.889751876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.026383513,2.072066472,2.080472683,2.156985397,2.139083189,2.126031125,0,0,2.165580267,4.43046387,4.375314476,2.1374829,4.179990386,0,0,0,2.138900178,4.297378599,2.120575948,2.106327408,2.169668041,0,0,0,0,0,0,0,0,0,0,0,2.308669052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.386748771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.920786754,0,0,0,0,0,1.705204283,0,0,0,6.394577398,8.705190034,8.724328663,0,0,0,0,0,12.12268154,6.046314771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.846824385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U01007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.924631433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U01009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.005696177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.700188721,0,0,0,0,0,0,0,0,0,0,0,0,0,1.747060571,1.804109762,0,0,0,0,1.487364836,1.488538255,1.487807418,1.520611894,1.576416805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.145416318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.066457266,0,0,0,0,0,0,0,0,0,0,0,0,0,2.069921964,0,0,2.058121347,0,0,0,0,2.287335026,4.572055596,2.345545809,9.425959091,7.002310763,2.465240114,8.938547486,4.639187214,4.647488033,4.637251038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34367676,7.117268867,9.578544061,4.992635862,4.92622971,2.404192912,2.21253623,2.152574479,4.278990158,6.316321374,4.228061645,4.124902034,6.019382411,1.841247629,1.76709666,7.059155725,3.686296194,0,0,0,0,1.90719585,1.857251639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.737287399,1.871047412,0
U01011,1.557123059,1.589016716,1.57790927,0,0,0,0,0,0,0,0,0,0,0,0,1.941559072,1.941408298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.072495907,1.994336086,2.00621928,1.75367834,1.754355187,1.806521543,1.895411209,1.856596487,1.948482132,2.048466723,2.04662205,2.026383513,2.072066472,2.080472683,2.156985397,2.139083189,2.126031125,2.145416318,2.1709398,2.165580267,2.215231935,2.187657238,2.1374829,2.089995193,2.082465639,2.096875655,2.126935511,2.138900178,2.1486893,2.120575948,2.106327408,2.169668041,2.175568367,0,0,0,0,0,0,0,0,2.33535731,2.303404432,2.308669052,0,0,0,2.331654542,0,0,0,0,0,2.154011847,2.081208766,0,0,2.066457266,0,0,0,0,0,0,0,0,0,2.089078299,0,0,0,0,2.089558476,0,0,2.105351804,0,0,0,0,0,0,0,2.334103588,0,0,2.319593607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U01013,0,0,0,1.584133321,0,0,0,0,1.625197055,0,0,0,0,0,0,0,0,0,0,0,1.989139299,0,0,0,4.082965866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.868390568,0,0,0,0,2.073269338,0,1.950953041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09938488,0,0,0,0,0,0,2.096611875,0,0,0,0,0,0,2.334103588,2.465240114,0,0,0,0,0,0,0,0,2.265210891,0,0,2.324500232,2.386748771,0,0,2.275519956,6.719075455,0,4.492665723,2.350065802,7.269026677,2.266545784,4.688452342,7.03103028,2.372422956,0,0,0,0,0,0,0,0,0,0,0,0,0,5.294366794,1.843148097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U01015,1.557123059,0,0,0,0,0,0,0,0,0,0,1.647989453,0,0,0,0,0,0,3.980812484,0,0,0,0,2.004128505,4.082965866,4.079301624,4.031364012,4.234865649,4.249081136,2.129698648,8.336633251,0,1.62319217,1.537893701,0,0,0,0,0,0,0,0,0,0,3.567287969,1.851920441,0,0,0,0,0,0,0,0,3.671476301,1.757222183,0,0,1.924446241,0,0,3.226587078,4.462094507,1.488538255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.072495907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.407028523,0,0,0,0,0,2.337267734,0,0,0,2.182738901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08454932,0,0,0,0,0,4.116242694,0,0,2.121475698,0,0,13.71616679,4.691091617,4.712979546,0,0,0,0,0,0,0,0,0,0,0,0,0,2.324500232,2.386748771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.686296194,0,0,0,0,0,0,0,0,0,1.856562018,0,0,0,0,0,0,0,0,0,0,0,0,2.075420792,0,0,0,0,0,0,0,0,0,0,0,0,1.806456275,1.876876877,0,0,0,0,0,0,0,0,0,0,0,1.853087243,1.908761214,1.95710036,0,0,0,4.840739665,2.419081717,2.533056386,2.472371251,0,0,0,0,0,0,1.871047412,1.663644379
U01017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.701085292,1.783643985,0,0,0,0,0,0,1.873325715,0,0,0,0,0,0,0,0,0,1.613293539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.114164905,2.105573453,2.089078299,2.08454932,2.09938488,2.105484788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.386748771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.020079591,0,0,0,0,0,0,0,0,0,0,0,0,1.798011399,1.806456275,0,0,0,0,1.743375174,0,0,1.846824385,0,1.87132752,1.809103408,0,0,0,0,0,2.512752218,0,0,0,0,0,0,1.914535151,1.853052905,0,3.46536369,3.474574799,3.742094825,1.663644379
U01019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.594921769,1.62319217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.114164905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.853052905,1.914278604,0,0,1.871047412,0
