NTA,1/1/20,1/8/20,1/15/20,1/22/20,1/29/20,2/5/20,2/12/20,2/19/20,2/26/20,3/4/20,3/11/20,3/18/20,3/25/20,4/1/20,4/8/20,4/15/20,4/22/20,4/29/20,5/6/20,5/13/20,5/20/20,5/27/20,6/3/20,6/10/20,6/17/20,6/24/20,7/1/20,7/8/20,7/15/20,7/22/20,7/29/20,8/5/20,8/12/20,8/19/20,8/26/20,9/2/20,9/9/20,9/16/20,9/23/20
BK09,0.031373177,0.025132351,0.028373184,0.017017675,0.015383592,0.019172999,0.030917942,0.021035087,0.01450428,0.009985669,0.064930856,0.113652323,0.203588413,0.158505877,0.177547197,0.157890641,0.153796261,0.057032275,0.034439374,0.027232035,0.051124782,0.038853493,0.033248084,0.043923999,0.046622255,0.041252431,0.050100427,0.046859113,0.051036011,0.042085328,0.038310132,0.029995079,0.036775013,0.024240183,0.034858295,0.032976762,0.042712119,0.031006684,0.029407852
BK17,0.016948992,0.013588356,0.017422566,0.017822594,0.013656211,0.013339375,0.021748397,0.019738753,0.014771091,0.014856817,0.018797704,0.02726981,0.042398935,0.024791869,0.034406246,0.033578764,0.031192424,0.020227304,0.019001189,0.021187221,0.021821818,0.024075544,0.024316305,0.026100004,0.026063869,0.025286694,0.027798472,0.028621956,0.027461176,0.027833784,0.021719495,0.01692788,0.019905991,0.022523768,0.021968296,0.020153074,0.019703284,0.018052485,0.023221535
BK19,0.013661855,0.015574867,0.019509393,0.01788134,0.015498362,0.015773611,0.019820634,0.018624201,0.015099358,0.014611313,0.020400208,0.028185875,0.041307442,0.025693281,0.035487794,0.039568513,0.035437646,0.02494105,0.015888051,0.019098268,0.02087517,0.021269356,0.024097304,0.023910766,0.02407454,0.025959853,0.024828423,0.023959781,0.02445211,0.028507592,0.021481076,0.016493565,0.021610914,0.017689723,0.019593986,0.018339303,0.01644509,0.020203485,0.019193236
BK21,0.016920806,0.013500059,0.020771723,0.01811811,0.018095584,0.01537766,0.02331163,0.020225556,0.01555972,0.015740419,0.023623012,0.035416352,0.046961828,0.027653269,0.037318247,0.040717275,0.040391678,0.025497946,0.02757296,0.031321747,0.028607049,0.032432902,0.028453976,0.024722258,0.028030785,0.02954748,0.023749241,0.021186054,0.02224164,0.026805167,0.023477995,0.01625071,0.020135489,0.02615983,0.024174079,0.023521048,0.021622742,0.024200262,0.025332452
BK23,0.024866584,0.016435683,0.02939253,0.018949474,0.014018773,0.014321105,0.022940365,0.018125541,0.016194585,0.018130242,0.021723499,0.038015263,0.063494306,0.053631258,0.064690237,0.072065235,0.063097709,0.038205906,0.028868365,0.028725645,0.033461826,0.029787282,0.034968762,0.034449064,0.032946405,0.036082914,0.044013311,0.041707185,0.034999256,0.038943906,0.037002265,0.023836044,0.026716594,0.029595951,0.026082358,0.026980302,0.021731966,0.025944432,0.029202815
BK25,0.01396093,0.015577087,0.021965447,0.018900236,0.010893474,0.010961632,0.016359519,0.015827959,0.014119159,0.009560045,0.0211171,0.028923155,0.051381172,0.037516376,0.04741778,0.045160405,0.046106396,0.029019976,0.024858916,0.03091152,0.038042838,0.045139897,0.047663029,0.041310293,0.04147661,0.042487317,0.034011697,0.032142756,0.034384122,0.031762663,0.027023181,0.021475509,0.023296416,0.026566878,0.022311925,0.019167309,0.018245895,0.022999985,0.023951214
BK26,0.014314308,0.012216293,0.014772615,0.011392645,0.012217092,0.012585939,0.016688237,0.016223598,0.01264936,0.011970565,0.016791714,0.022875311,0.041529697,0.03167543,0.041934793,0.039032348,0.037787285,0.023068847,0.022446783,0.020698097,0.026670528,0.028823058,0.032674171,0.027034831,0.029285158,0.02707306,0.026479469,0.026572772,0.02980416,0.029634823,0.022545529,0.023253902,0.022623825,0.02682396,0.025620951,0.025553649,0.023257733,0.024283743,0.02445559
BK27,0.011488332,0.009740026,0.01629455,0.013944551,0.01250664,0.013345458,0.018169763,0.017939207,0.014843524,0.012895374,0.015543697,0.027752989,0.041001209,0.026138136,0.031831026,0.03456741,0.031520196,0.01927564,0.018338407,0.019238013,0.021699632,0.021997458,0.027049868,0.01963688,0.022542569,0.021250105,0.017052118,0.015893252,0.017206503,0.015442809,0.014114539,0.015724859,0.015227679,0.021409587,0.021715195,0.016343436,0.017339955,0.018158563,0.025366524
BK28,0.012337085,0.012564184,0.015244343,0.014450239,0.012103873,0.013895085,0.018031129,0.01728613,0.01242756,0.010173943,0.01594339,0.022516081,0.03848159,0.021746588,0.02715426,0.029522942,0.027355609,0.018126,0.016206796,0.019292767,0.020168668,0.020581322,0.020749127,0.018290537,0.020423565,0.022208887,0.023458747,0.024564087,0.023117732,0.023732892,0.020389482,0.015872684,0.01720299,0.022146134,0.024675929,0.019817538,0.019168707,0.02162295,0.020915563
BK29,0.013085183,0.010432477,0.014439966,0.013788792,0.014489349,0.01392558,0.017776959,0.017339712,0.0167555,0.015994673,0.021442576,0.026157663,0.03863099,0.025866593,0.026978883,0.03212985,0.033317679,0.021464209,0.019559571,0.01954296,0.020590507,0.022176962,0.023131207,0.023074784,0.02601581,0.024399783,0.023804985,0.021198252,0.021835622,0.023929599,0.021941622,0.015111685,0.021795149,0.023032433,0.023650336,0.023475811,0.021651851,0.02345095,0.021367939
