date,date_viz
1/2/19,1-Jan
1/3/19,2-Jan
1/4/19,3-Jan
1/5/19,4-Jan
1/6/19,5-Jan
1/7/19,6-Jan
1/8/19,7-Jan
1/9/19,8-Jan
1/10/19,9-Jan
1/11/19,10-Jan
1/12/19,11-Jan
1/13/19,12-Jan
1/14/19,13-Jan
1/15/19,14-Jan
1/16/19,15-Jan
1/17/19,16-Jan
1/18/19,17-Jan
1/19/19,18-Jan
1/20/19,19-Jan
1/21/19,20-Jan
1/22/19,21-Jan
1/23/19,22-Jan
1/24/19,23-Jan
1/25/19,24-Jan
1/26/19,25-Jan
1/27/19,26-Jan
1/28/19,27-Jan
1/29/19,28-Jan
1/30/19,29-Jan
1/31/19,30-Jan
2/1/19,31-Jan
2/2/19,1-Feb
2/3/19,2-Feb
2/4/19,3-Feb
2/5/19,4-Feb
2/6/19,5-Feb
2/7/19,6-Feb
2/8/19,7-Feb
2/9/19,8-Feb
2/10/19,9-Feb
2/11/19,10-Feb
2/12/19,11-Feb
2/13/19,12-Feb
2/14/19,13-Feb
2/15/19,14-Feb
2/16/19,15-Feb
2/17/19,16-Feb
2/18/19,17-Feb
2/19/19,18-Feb
2/20/19,19-Feb
2/21/19,20-Feb
2/22/19,21-Feb
2/23/19,22-Feb
2/24/19,23-Feb
2/25/19,24-Feb
2/26/19,25-Feb
2/27/19,26-Feb
2/28/19,27-Feb
3/1/19,28-Feb
3/2/19,29-Feb
3/3/19,1-Mar
3/4/19,2-Mar
3/5/19,3-Mar
3/6/19,4-Mar
3/7/19,5-Mar
3/8/19,6-Mar
3/9/19,7-Mar
3/10/19,8-Mar
3/11/19,9-Mar
3/12/19,10-Mar
3/13/19,11-Mar
3/14/19,12-Mar
3/15/19,13-Mar
3/16/19,14-Mar
3/17/19,15-Mar
3/18/19,16-Mar
3/19/19,17-Mar
3/20/19,18-Mar
3/21/19,19-Mar
3/22/19,20-Mar
3/23/19,21-Mar
3/24/19,22-Mar
3/25/19,23-Mar
3/26/19,24-Mar
3/27/19,25-Mar
3/28/19,26-Mar
3/29/19,27-Mar
3/30/19,28-Mar
3/31/19,29-Mar
4/1/19,30-Mar
4/2/19,31-Mar
4/3/19,1-Apr
4/4/19,2-Apr
4/5/19,3-Apr
4/6/19,4-Apr
4/7/19,5-Apr
4/8/19,6-Apr
4/9/19,7-Apr
4/10/19,8-Apr
4/11/19,9-Apr
4/12/19,10-Apr
4/13/19,11-Apr
4/14/19,12-Apr
4/15/19,13-Apr
4/16/19,14-Apr
4/17/19,15-Apr
4/18/19,16-Apr
4/19/19,17-Apr
4/20/19,18-Apr
4/21/19,19-Apr
4/22/19,20-Apr
4/23/19,21-Apr
4/24/19,22-Apr
4/25/19,23-Apr
4/26/19,24-Apr
4/27/19,25-Apr
4/28/19,26-Apr
4/29/19,27-Apr
4/30/19,28-Apr
5/1/19,29-Apr
5/2/19,30-Apr
5/3/19,1-May
5/4/19,2-May
5/5/19,3-May
5/6/19,4-May
5/7/19,5-May
5/8/19,6-May
5/9/19,7-May
5/10/19,8-May
5/11/19,9-May
5/12/19,10-May
5/13/19,11-May
5/14/19,12-May
5/15/19,13-May
5/16/19,14-May
5/17/19,15-May
5/18/19,16-May
5/19/19,17-May
5/20/19,18-May
5/21/19,19-May
5/22/19,20-May
5/23/19,21-May
5/24/19,22-May
5/25/19,23-May
5/26/19,24-May
5/27/19,25-May
5/28/19,26-May
5/29/19,27-May
5/30/19,28-May
5/31/19,29-May
6/1/19,30-May
6/2/19,31-May
6/3/19,1-Jun
6/4/19,2-Jun
6/5/19,3-Jun
6/6/19,4-Jun
6/7/19,5-Jun
6/8/19,6-Jun
6/9/19,7-Jun
6/10/19,8-Jun
6/11/19,9-Jun
6/12/19,10-Jun
6/13/19,11-Jun
6/14/19,12-Jun
6/15/19,13-Jun
6/16/19,14-Jun
6/17/19,15-Jun
6/18/19,16-Jun
6/19/19,17-Jun
6/20/19,18-Jun
6/21/19,19-Jun
6/22/19,20-Jun
6/23/19,21-Jun
6/24/19,22-Jun
6/25/19,23-Jun
6/26/19,24-Jun
6/27/19,25-Jun
6/28/19,26-Jun
6/29/19,27-Jun
6/30/19,28-Jun
7/1/19,29-Jun
7/2/19,30-Jun
7/3/19,1-Jul
7/4/19,2-Jul
7/5/19,3-Jul
7/6/19,4-Jul
7/7/19,5-Jul
7/8/19,6-Jul
7/9/19,7-Jul
7/10/19,8-Jul
7/11/19,9-Jul
7/12/19,10-Jul
7/13/19,11-Jul
7/14/19,12-Jul
7/15/19,13-Jul
7/16/19,14-Jul
7/17/19,15-Jul
7/18/19,16-Jul
7/19/19,17-Jul
7/20/19,18-Jul
7/21/19,19-Jul
7/22/19,20-Jul
7/23/19,21-Jul
7/24/19,22-Jul
7/25/19,23-Jul
7/26/19,24-Jul
7/27/19,25-Jul
7/28/19,26-Jul
7/29/19,27-Jul
7/30/19,28-Jul
7/31/19,29-Jul
8/1/19,30-Jul
