Pop_10E,orig_st,orig_co,orig_cbg,orig_stco
0,36,5,360050001000,36005
11091,36,5,360050001001,36005
0,36,5,360050002000,36005
1120,36,5,360050002001,36005
1974,36,5,360050002002,36005
1240,36,5,360050002003,36005
0,36,5,360050004000,36005
966,36,5,360050004001,36005
1434,36,5,360050004002,36005
2451,36,5,360050004003,36005
652,36,5,360050004004,36005
2627,36,5,360050016001,36005
818,36,5,360050016002,36005
762,36,5,360050016003,36005
1436,36,5,360050016004,36005
0,36,5,360050019000,36005
852,36,5,360050019001,36005
75,36,5,360050019002,36005
990,36,5,360050019003,36005
0,36,5,360050019004,36005
0,36,5,360050019005,36005
1145,36,5,360050020001,36005
2032,36,5,360050020002,36005
2481,36,5,360050020003,36005
1376,36,5,360050020004,36005
711,36,5,360050020005,36005
986,36,5,360050020006,36005
2730,36,5,360050023001,36005
482,36,5,360050023002,36005
1721,36,5,360050023003,36005
0,36,5,360050024000,36005
4,36,5,360050024001,36005
1001,36,5,360050025001,36005
1614,36,5,360050025002,36005
1107,36,5,360050025003,36005
923,36,5,360050025004,36005
846,36,5,360050025005,36005
1717,36,5,360050027011,36005
1396,36,5,360050027012,36005
1198,36,5,360050027021,36005
886,36,5,360050027022,36005
1455,36,5,360050027023,36005
936,36,5,360050027024,36005
0,36,5,360050028000,36005
1418,36,5,360050028001,36005
2013,36,5,360050028002,36005
1094,36,5,360050028003,36005
1061,36,5,360050028004,36005
1597,36,5,360050031001,36005
513,36,5,360050033001,36005
1288,36,5,360050033002,36005
1612,36,5,360050033003,36005
843,36,5,360050035001,36005
1539,36,5,360050035002,36005
1379,36,5,360050035003,36005
245,36,5,360050037001,36005
1264,36,5,360050038001,36005
1415,36,5,360050039001,36005
1720,36,5,360050039002,36005
774,36,5,360050039003,36005
1093,36,5,360050039004,36005
1473,36,5,360050039005,36005
1420,36,5,360050040011,36005
1792,36,5,360050041001,36005
1627,36,5,360050041002,36005
69,36,5,360050041003,36005
2639,36,5,360050041004,36005
754,36,5,360050042001,36005
2406,36,5,360050042002,36005
1320,36,5,360050042003,36005
766,36,5,360050042004,36005
897,36,5,360050042005,36005
0,36,5,360050042006,36005
1000,36,5,360050042007,36005
1062,36,5,360050043001,36005
1866,36,5,360050043002,36005
1148,36,5,360050043003,36005
980,36,5,360050043004,36005
1410,36,5,360050044001,36005
486,36,5,360050044002,36005
1643,36,5,360050044003,36005
1258,36,5,360050044004,36005
1555,36,5,360050046001,36005
1786,36,5,360050048001,36005
2097,36,5,360050048002,36005
1450,36,5,360050050011,36005
1396,36,5,360050050012,36005
963,36,5,360050050013,36005
958,36,5,360050050014,36005
2350,36,5,360050050021,36005
1068,36,5,360050050022,36005
1188,36,5,360050050023,36005
1217,36,5,360050050024,36005
296,36,5,360050051001,36005
2795,36,5,360050051002,36005
2719,36,5,360050051003,36005
717,36,5,360050052001,36005
1314,36,5,360050052002,36005
2592,36,5,360050053001,36005
2077,36,5,360050053002,36005
1154,36,5,360050054001,36005
2717,36,5,360050054002,36005
897,36,5,360050054003,36005
1085,36,5,360050054004,36005
895,36,5,360050056001,36005
790,36,5,360050056002,36005
1026,36,5,360050056003,36005
888,36,5,360050059021,36005
1694,36,5,360050059022,36005
1129,36,5,360050060001,36005
523,36,5,360050061001,36005
3181,36,5,360050061002,36005
9,36,5,360050061003,36005
1282,36,5,360050062001,36005
1569,36,5,360050062002,36005
2009,36,5,360050062003,36005
1134,36,5,360050062004,36005
591,36,5,360050062005,36005
0,36,5,360050063001,36005
424,36,5,360050063002,36005
856,36,5,360050063003,36005
972,36,5,360050063004,36005
