orig_puma,Pop_10E,device_count,candidate_device_count,orig_cbg,bias,abs_bias
3603701,108121,4428,9865,92,-0.2444757937727169,0.2444757937727169
3603702,138360,7592,16935,134,0.15945274786562091,0.15945274786562091
3603703,114863,5737,12070,88,-0.0855386390709747,0.0855386390709747
3603704,123764,6542,14797,109,0.1041244231506826,0.1041244231506826
3603705,161372,10186,24087,124,0.6609481948583666,0.6609481948583666
3603706,127405,6292,14235,105,-0.0020758555926574385,0.0020758555926574385
3603707,134257,6826,15415,106,0.04321598533928239,0.04321598533928239
3603708,139293,7369,17070,104,0.1628070725666173,0.1628070725666173
3603709,181365,10118,21504,151,0.1329005192441346,0.1329005192441346
3603710,156118,8716,20373,118,0.31844913290633237,0.31844913290633237
3603801,198483,6923,18310,125,-0.4268475408147654,0.4268475408147654
3603802,127399,4703,12393,76,-0.20380826723223144,0.20380826723223144
3603803,118665,6353,16200,77,0.32033410444599664,0.32033410444599664
3603804,117567,5642,13623,78,0.051461432010822206,0.051461432010822206
3603805,219920,7618,17262,165,-0.8044230558076741,0.8044230558076741
3603806,193892,6460,15431,141,-0.6859921753541978,0.6859921753541978
3603807,144664,6261,25482,108,1.0185758241566882,1.0185758241566882
3603808,150235,4979,13227,122,-0.39234339692088915,0.39234339692088915
3603809,164937,5680,14781,107,-0.402296250453388,0.402296250453388
3603810,149321,5555,19615,99,0.31871664653173637,0.31871664653173637
3603901,159853,14184,23673,94,0.6342099184742302,0.6342099184742302
3603902,133090,9201,17361,86,0.27072018967964007,0.27072018967964007
3603903,175756,11073,22101,126,0.2670575977885039,0.2670575977885039
3604001,135746,4469,11707,119,-0.38127636338923354,0.38127636338923354
3604002,129239,5093,13229,104,-0.13477106472820988,0.13477106472820988
3604003,132999,5604,14332,114,-0.060015778503535566,0.060015778503535566
3604004,117271,4664,10730,114,-0.26186190317425106,0.26186190317425106
3604005,105427,3722,8464,115,-0.364945611521,0.364945611521
3604006,123018,5872,16040,98,0.24944900587090224,0.24944900587090224
3604007,119578,7967,19185,111,0.636174058476582,0.636174058476582
3604008,154541,9177,20169,113,0.3154289705910869,0.3154289705910869
3604009,193723,11366,23926,152,0.24677505930161514,0.24677505930161514
3604010,135648,7306,16849,113,0.18327241566559493,0.18327241566559493
3604011,107129,4340,10290,75,-0.18575442451751334,0.18575442451751334
3604012,147374,5077,10400,105,-0.6669960541902631,0.6669960541902631
3604013,121790,6392,12552,113,-0.11763762101713282,0.11763762101713282
3604014,162881,4796,9623,122,-0.9421958425495336,0.9421958425495336
3604015,158639,7350,15469,114,-0.2497241429352579,0.2497241429352579
3604016,147751,9609,17664,124,0.12421274447444919,0.12421274447444919
3604017,181636,11043,19996,144,-0.03563475697762453,0.03563475697762453
3604018,114698,7424,14534,83,0.18643487850854434,0.18643487850854434
3604101,174174,8262,20020,144,0.058458234320163616,0.058458234320163616
3604102,183339,8086,19006,110,-0.16497133735911929,0.16497133735911929
3604103,248328,11448,22806,176,-0.5452370965495441,0.5452370965495441
3604104,116852,6755,12118,111,-0.10465952174873405,0.10465952174873405
3604105,188687,10853,23100,178,0.21800760769292182,0.21800760769292182
3604106,154016,8240,16251,115,-0.10738447069349677,0.10738447069349677
3604107,146141,7024,15963,79,-0.04241135142256902,0.04241135142256902
3604108,111988,5389,10641,91,-0.20685752042281913,0.20685752042281913
3604109,133918,6995,16647,96,0.18234672869373192,0.18234672869373192
3604110,170306,8908,18930,146,-0.01354901408908038,0.01354901408908038
3604111,143047,7827,17037,107,0.11317794081487786,0.11317794081487786
3604112,221519,14319,30725,173,0.6509578265876157,0.6509578265876157
3604113,123373,7485,15395,97,0.1744327304866109,0.1744327304866109
3604114,114961,6183,13150,75,0.03158286030506252,0.03158286030506252
