orig_nta,Pop_10E,device_count,candidate_device_count,orig_cbg,name,bias,abs_bias
BK09,22887,668,1422,19,Brooklyn Heights Cobble Hill,-0.12474010739559105,0.12474010739559105
BK17,64518,4429,8260,51,Sheepshead Bay Gerritsen Beach Manhattan Beach,0.1141363739158292,0.1141363739158292
BK19,35547,2402,4578,26,Brighton Beach,0.06584836270706179,0.06584836270706179
BK21,31965,2076,4364,27,Seagate Coney Island,0.08630840552360353,0.08630840552360353
BK23,17750,1020,1841,9,West Brighton,-0.015869786253051743,0.015869786253051743
BK25,44316,2607,4671,39,Homecrest,-0.03144656046601069,0.03144656046601069
BK26,29436,1917,3738,20,Gravesend,0.048723641690107566,0.048723641690107566
BK27,29931,2108,3790,26,Bath Beach,0.048353322419786626,0.048353322419786626
BK28,88727,5178,9624,69,Bensonhurst West,-0.03316218542029126,0.03316218542029126
BK29,62978,3757,6582,49,Bensonhurst East,-0.050825893977119896,0.050825893977119896
BK30,42419,2146,3865,39,Dyker Heights,-0.09649835779307375,0.09649835779307375
BK31,79371,4212,8522,73,Bay Ridge,-0.03921634389604456,0.03921634389604456
BK32,54041,2230,4930,40,Sunset Park West,-0.12227277567764006,0.12227277567764006
BK33,37778,1479,3189,42,Carroll Gardens Columbia Street Red Hook,-0.11367371335708804,0.11367371335708804
BK34,72340,2071,4109,44,Sunset Park East,-0.4365153602263053,0.4365153602263053
BK35,63504,3050,7792,62,Stuyvesant Heights,0.07529205090778157,0.07529205090778157
BK37,67649,2102,4568,72,Park Slope Gowanus,-0.32872944989175235,0.32872944989175235
BK38,33776,1685,4039,32,DUMBO Vinegar Hill Downtown Brooklyn Boerum Hill,0.0285041551788372,0.0285041551788372
BK40,20988,765,1330,20,Windsor Terrace,-0.11154293204253318,0.11154293204253318
BK41,36891,1743,3491,25,Kensington Ocean Parkway,-0.06971499728267655,0.06971499728267655
BK42,105804,4753,10482,69,Flatbush,-0.14847842016074342,0.14847842016074342
BK43,52835,2597,4987,45,Midwood,-0.1012457227745146,0.1012457227745146
BK44,38917,2573,4733,34,Madison,0.041522931024630394,0.041522931024630394
BK45,45231,3102,5443,39,Georgetown Marine Park Bergen Beach Mill Basin,0.041916881931083894,0.041916881931083894
BK46,20299,911,1762,19,Ocean Parkway South,-0.05576860301333608,0.05576860301333608
BK50,83693,4689,10610,55,Canarsie,0.13656506166928795,0.13656506166928795
BK58,64762,3470,7384,55,Flatlands,0.015172740314659316,0.015172740314659316
BK60,67459,2851,6693,47,Prospect Lefferts Gardens Wingate,-0.09358968499419051,0.09358968499419051
BK61,103169,5318,14756,80,Crown Heights North,0.35207060140646296,0.35207060140646296
BK63,39670,1489,3597,28,Crown Heights South,-0.09216473952332283,0.09216473952332283
BK64,19849,554,1284,18,Prospect Heights,-0.10262159553556036,0.10262159553556036
BK68,25490,1148,2448,25,Fort Greene,-0.04423915417321628,0.04423915417321628
BK69,34791,1115,2651,36,Clinton Hill,-0.13600354710654555,0.13600354710654555
BK72,21095,307,686,13,Williamsburg,-0.18340985142045707,0.18340985142045707
BK73,45774,1521,3979,39,North Side South Side,-0.12513181138085866,0.12513181138085866
BK75,69495,2554,6540,52,Bedford,-0.13530782941131747,0.13530782941131747
BK76,34719,1243,3260,36,Greenpoint,-0.06840016373414687,0.06840016373414687
BK77,57138,2004,5199,42,Bushwick North,-0.13076235880088882,0.13076235880088882
BK78,72101,3089,8030,62,Bushwick South,-0.004008705927321055,0.004008705927321055
BK79,31935,2043,5031,31,Ocean Hill,0.15975135215724207,0.15975135215724207
BK81,58300,3850,8587,52,Brownsville,0.22617744010375862,0.22617744010375862
BK82,91958,5989,13370,72,East New York,0.3376391508758032,0.3376391508758032
BK83,49223,2372,5032,33,Cypress Hills City Line,-0.052042423713243524,0.052042423713243524
BK85,29343,2074,5567,28,East New York (Pennsylvania Ave),0.25024526621558163,0.25024526621558163
BK88,105691,2142,4370,78,Borough Park,-0.8167122422535211,0.8167122422535211
BK90,34158,1398,3782,31,East Williamsburg,-0.004334536853770832,0.004334536853770832
BK91,50355,2663,5756,42,East Flatbush Farragut,0.013402408380295716,0.013402408380295716
BK93,13354,797,1693,7,Starrett City,0.02179849014089269,0.02179849014089269
BK95,29938,1709,4234,23,Erasmus,0.09691130238877488,0.09691130238877488
BK96,55326,2839,6350,47,Rugby Remsen Village,0.017549110218247788,0.017549110218247788
BK99,404,462,2158,11,park cemetery etc Brooklyn,0.23147437467162296,0.23147437467162296
BX01,31078,2169,5379,23,Claremont Bathgate,0.2083820217139275,0.2083820217139275
BX03,34517,1976,4543,33,Eastchester Edenwald Baychester,0.07463879770112891,0.07463879770112891
BX05,54415,2762,6268,49,Bedford Park Fordham North,0.019731703450395988,0.019731703450395988
BX06,27378,1559,3677,22,Belmont,0.0672660197608203,0.0672660197608203
BX07,35538,1773,3836,31,Bronxdale,-0.015333406036649011,0.015333406036649011
BX08,35011,1866,3927,30,West Farms Bronx River,0.0010959484752018356,0.0010959484752018356
BX09,53647,3058,6710,42,Soundview Castle Hill Clason Point Harding Park,0.07756993585780525,0.07756993585780525
BX10,26583,1333,2528,26,Pelham Bay Country Club City Island,-0.04887168299192901,0.04887168299192901
